artist_id,album_id,album_name,album_type,album_group,release_date,release_date_precision,total_tracks,external_url
1yR65psqiazQpeM79CcGh8,6ncYffPA8uomCY8DJ0EXL9,Decretos Reais,album,album,2023-05-25,day,15,https://open.spotify.com/album/6ncYffPA8uomCY8DJ0EXL9
1yR65psqiazQpeM79CcGh8,5S0cTPPACcLQxZPe2X88bQ,Festa das Patroas 35%,album,album,2021-10-14,day,9,https://open.spotify.com/album/5S0cTPPACcLQxZPe2X88bQ
1yR65psqiazQpeM79CcGh8,4IzsHOBctS66OP3dHXTJsG,Festa das Patroas,album,album,2020-09-04,day,19,https://open.spotify.com/album/4IzsHOBctS66OP3dHXTJsG
1yR65psqiazQpeM79CcGh8,4HpiwfnQvs867JNWeLy1vr,"Todos Os Cantos, Vol. 1 (Ao Vivo)",album,album,2019-02-22,day,12,https://open.spotify.com/album/4HpiwfnQvs867JNWeLy1vr
1yR65psqiazQpeM79CcGh8,2NLcvAUpdh2P3iIZxiEbs4,Agora É Que São Elas 2 (Ao Vivo | Acústico),album,album,2018-04-13,day,9,https://open.spotify.com/album/2NLcvAUpdh2P3iIZxiEbs4
1yR65psqiazQpeM79CcGh8,6JFSCrp4FNZhVZmrDpEZi5,Marília Mendonça - Perfil (Ao Vivo),album,album,2018-02-23,day,13,https://open.spotify.com/album/6JFSCrp4FNZhVZmrDpEZi5
1yR65psqiazQpeM79CcGh8,5EOY7EuE83D9oSeT9eR9ry,Realidade - Ao Vivo Em Manaus,album,album,2017-03-06,day,18,https://open.spotify.com/album/5EOY7EuE83D9oSeT9eR9ry
1yR65psqiazQpeM79CcGh8,0qy6yZjgoZ2cGGk9joy8E4,Marília Mendonça - Ao Vivo,album,album,2016-03-04,day,17,https://open.spotify.com/album/0qy6yZjgoZ2cGGk9joy8E4
1yR65psqiazQpeM79CcGh8,31lds4iqKKZG4kT4zt7bvE,Sem Direito Ao Amor (Portuguese Version),single,single,2025-05-22,day,1,https://open.spotify.com/album/31lds4iqKKZG4kT4zt7bvE
1yR65psqiazQpeM79CcGh8,3EC6utuYNmSl59C9uaz2yF,De Quem É A Culpa?,single,single,2025-01-24,day,1,https://open.spotify.com/album/3EC6utuYNmSl59C9uaz2yF
1yR65psqiazQpeM79CcGh8,3rmMWVN4USeL7iJKcbdurg,Alok Remixes,single,single,2024-11-29,day,2,https://open.spotify.com/album/3rmMWVN4USeL7iJKcbdurg
1yR65psqiazQpeM79CcGh8,6pQEr64rW3rV156wGjmbKT,Experiência (Ao Vivo),single,single,2024-06-26,day,1,https://open.spotify.com/album/6pQEr64rW3rV156wGjmbKT
1yR65psqiazQpeM79CcGh8,1THJVUNwa03TGzh8tCJoJ3,Flor E O Beija-Flor,single,single,2023-07-27,day,1,https://open.spotify.com/album/1THJVUNwa03TGzh8tCJoJ3
1yR65psqiazQpeM79CcGh8,7MaA96FHJqibDTnKU9Awyi,Você Não É Mais Assim (Ao Vivo),single,single,2023-05-11,day,1,https://open.spotify.com/album/7MaA96FHJqibDTnKU9Awyi
1yR65psqiazQpeM79CcGh8,1ZIOn3boIPlcctKdVNNHRm,"Decretos Reais, Vol. 3",single,single,2023-03-16,day,4,https://open.spotify.com/album/1ZIOn3boIPlcctKdVNNHRm
1yR65psqiazQpeM79CcGh8,44GonyeOgM1vGc9uHpoimf,"Decretos Reais, Vol. 2",single,single,2022-12-09,day,6,https://open.spotify.com/album/44GonyeOgM1vGc9uHpoimf
1yR65psqiazQpeM79CcGh8,1AbDFvSVfPK95Tpkb5d1F9,Insônia (Ao vivo),single,single,2022-08-22,day,1,https://open.spotify.com/album/1AbDFvSVfPK95Tpkb5d1F9
1yR65psqiazQpeM79CcGh8,24aslPrdihuSQ59jrB2eBB,"Decretos Reais, Vol.1",single,single,2022-07-21,day,4,https://open.spotify.com/album/24aslPrdihuSQ59jrB2eBB
1yR65psqiazQpeM79CcGh8,054z4D8xRcVUqmXXErNdjz,Amava Nada (Ao Vivo),single,single,2022-02-03,day,1,https://open.spotify.com/album/054z4D8xRcVUqmXXErNdjz
1yR65psqiazQpeM79CcGh8,6wM2qL8ddXGiEMPy44Wt8I,Mal Feito (Ao Vivo),single,single,2022-01-14,day,1,https://open.spotify.com/album/6wM2qL8ddXGiEMPy44Wt8I
1yR65psqiazQpeM79CcGh8,6bDiTJic2BDJUtOxc8dtzO,Amigos con derechos,single,single,2021-12-17,day,1,https://open.spotify.com/album/6bDiTJic2BDJUtOxc8dtzO
1yR65psqiazQpeM79CcGh8,6KCcAGSlLAlUo3nGAQqWMy,Calculista,single,single,2021-12-03,day,1,https://open.spotify.com/album/6KCcAGSlLAlUo3nGAQqWMy
1yR65psqiazQpeM79CcGh8,6ZzOOMR51w7LMBNWBtsUZr,Vai Lá Em Casa Hoje (Ao Vivo),single,single,2021-10-22,day,1,https://open.spotify.com/album/6ZzOOMR51w7LMBNWBtsUZr
1yR65psqiazQpeM79CcGh8,50wAyDdWCMpPnG3lzWUChj,Festa das Patroas 35%,single,single,2021-09-23,day,3,https://open.spotify.com/album/50wAyDdWCMpPnG3lzWUChj
1yR65psqiazQpeM79CcGh8,2XNMZxBXu26RGAwL3524Ye,Não Sei o Que Lá,single,single,2021-09-22,day,1,https://open.spotify.com/album/2XNMZxBXu26RGAwL3524Ye
1yR65psqiazQpeM79CcGh8,5NbuHCJlpaeH6g0h1ahYDj,Motel Afrodite,single,single,2021-09-21,day,1,https://open.spotify.com/album/5NbuHCJlpaeH6g0h1ahYDj
1yR65psqiazQpeM79CcGh8,0UE1j3QyXbSvxe8ObBn2u4,A Mais Disputada,single,single,2021-09-20,day,1,https://open.spotify.com/album/0UE1j3QyXbSvxe8ObBn2u4
1yR65psqiazQpeM79CcGh8,2v9lUQunZBqGCZ6qUiWvuO,melhor sozinha :-)-:,single,single,2021-08-23,day,1,https://open.spotify.com/album/2v9lUQunZBqGCZ6qUiWvuO
1yR65psqiazQpeM79CcGh8,39lPbTks55YEHh4J9yZqpT,Amor Falsificado,single,single,2021-07-29,day,1,https://open.spotify.com/album/39lPbTks55YEHh4J9yZqpT
1yR65psqiazQpeM79CcGh8,2r9KM4qOAdRm5bgBK8yWDN,Apartamento 119,single,single,2021-07-23,day,1,https://open.spotify.com/album/2r9KM4qOAdRm5bgBK8yWDN
1yR65psqiazQpeM79CcGh8,3WEsPzvaeaof6wNMhL49oh,Nosso Amor Envelheceu,single,single,2021-07-02,day,5,https://open.spotify.com/album/3WEsPzvaeaof6wNMhL49oh
1yR65psqiazQpeM79CcGh8,4KqClUko7ZYaQksORZug2h,Rosa Embriagada,single,single,2021-04-30,day,1,https://open.spotify.com/album/4KqClUko7ZYaQksORZug2h
1yR65psqiazQpeM79CcGh8,4CwfuAMrV2zwnoOzJtuI1k,Troca de Calçada,single,single,2021-01-29,day,1,https://open.spotify.com/album/4CwfuAMrV2zwnoOzJtuI1k
1yR65psqiazQpeM79CcGh8,1xkOIj7siMBQZKzdFNwt0U,Foi por Conveniência,single,single,2021-01-15,day,1,https://open.spotify.com/album/1xkOIj7siMBQZKzdFNwt0U
1yR65psqiazQpeM79CcGh8,3IFyXLAeUE09BDgfCgnbFx,Deprê,single,single,2020-12-04,day,1,https://open.spotify.com/album/3IFyXLAeUE09BDgfCgnbFx
1yR65psqiazQpeM79CcGh8,55DFnqQwKhV91lxG5fu3Jk,Hackearam-Me,single,single,2020-11-12,day,1,https://open.spotify.com/album/55DFnqQwKhV91lxG5fu3Jk
1yR65psqiazQpeM79CcGh8,168758Ys5Cjmyg5PdpQLOt,Frieza (Ao Vivo),single,single,2020-09-18,day,1,https://open.spotify.com/album/168758Ys5Cjmyg5PdpQLOt
1yR65psqiazQpeM79CcGh8,65f67l1aFake6UIWUtrK0k,"Festa das Patroas, EP 4",single,single,2020-08-21,day,4,https://open.spotify.com/album/65f67l1aFake6UIWUtrK0k
1yR65psqiazQpeM79CcGh8,6Pwkeo5nLhvGzCO4ZwDnRo,"Festa das Patroas, EP 3",single,single,2020-08-07,day,4,https://open.spotify.com/album/6Pwkeo5nLhvGzCO4ZwDnRo
1yR65psqiazQpeM79CcGh8,7JK3ZzSzsvQPsH2DwzKjGX,"Festa das Patroas, EP2",single,single,2020-07-24,day,4,https://open.spotify.com/album/7JK3ZzSzsvQPsH2DwzKjGX
1yR65psqiazQpeM79CcGh8,0Z4qKd1CG1VxOMt8knpoQK,"Festa das Patroas, EP1",single,single,2020-07-10,day,4,https://open.spotify.com/album/0Z4qKd1CG1VxOMt8knpoQK
1yR65psqiazQpeM79CcGh8,4ZvjMAz7i4pfWLKIbGE45z,Vira Homem,single,single,2020-05-01,day,1,https://open.spotify.com/album/4ZvjMAz7i4pfWLKIbGE45z
1yR65psqiazQpeM79CcGh8,1T3iSgOyVzyNXIqQ2ETFIz,Tentativas,single,single,2020-02-14,day,1,https://open.spotify.com/album/1T3iSgOyVzyNXIqQ2ETFIz
1yR65psqiazQpeM79CcGh8,5LC5xnORMHtfcwDMI5cC2V,Graveto (Ao Vivo),single,single,2020-01-10,day,1,https://open.spotify.com/album/5LC5xnORMHtfcwDMI5cC2V
1yR65psqiazQpeM79CcGh8,1GjVoPUvfzc1b76xa0stUI,Some que ele vem atrás,single,single,2019-10-30,day,1,https://open.spotify.com/album/1GjVoPUvfzc1b76xa0stUI
1yR65psqiazQpeM79CcGh8,3Yaip7W9IhkAkbTblqmasR,Que Festa É Essa (Caldas Country 2019),single,single,2019-10-04,day,1,https://open.spotify.com/album/3Yaip7W9IhkAkbTblqmasR
1yR65psqiazQpeM79CcGh8,0q1sCNFTFPy66A2zeK8qh5,"Todos Os Cantos, Vol. 3 (Ao Vivo)",single,single,2019-08-16,day,3,https://open.spotify.com/album/0q1sCNFTFPy66A2zeK8qh5
1yR65psqiazQpeM79CcGh8,3mTbv6MyAR4KEDh0w8s9Nk,"Todos Os Cantos, Vol. 2 (ao Vivo)",single,single,2019-05-17,day,3,https://open.spotify.com/album/3mTbv6MyAR4KEDh0w8s9Nk
1yR65psqiazQpeM79CcGh8,3nHVGNRLcsvkVogFQpyLfw,Moleque,single,single,2018-05-18,day,1,https://open.spotify.com/album/3nHVGNRLcsvkVogFQpyLfw
1yR65psqiazQpeM79CcGh8,7mBf7p56mBTJjl90lvWi2d,Transplante,single,single,2017-11-14,day,1,https://open.spotify.com/album/7mBf7p56mBTJjl90lvWi2d
1yR65psqiazQpeM79CcGh8,0B9jOMwyxUGkGoP4i1GlAx,Coração Bipolar (Ao Vivo),single,single,2017-04-21,day,1,https://open.spotify.com/album/0B9jOMwyxUGkGoP4i1GlAx
1yR65psqiazQpeM79CcGh8,2Xjyg06CnCzeYnNDw0QkVP,Ninguém É de Ferro,single,single,2017-02-08,day,1,https://open.spotify.com/album/2Xjyg06CnCzeYnNDw0QkVP
1yR65psqiazQpeM79CcGh8,2w7lCBu0UqIXVxrj15dCJz,Marília Mendonça (Ao Vivo),single,single,2017-01-13,day,4,https://open.spotify.com/album/2w7lCBu0UqIXVxrj15dCJz
1yR65psqiazQpeM79CcGh8,0RojAwslfWnqV2v3xkuazf,Agora É Que São Elas Ao Vivo (Acústico) - EP,single,single,2016-09-02,day,4,https://open.spotify.com/album/0RojAwslfWnqV2v3xkuazf
1yR65psqiazQpeM79CcGh8,3W2FjcqNStYzXuYBMG0tOc,Vou Levando a Minha (Ao Vivo),single,single,2016-08-29,day,1,https://open.spotify.com/album/3W2FjcqNStYzXuYBMG0tOc
1yR65psqiazQpeM79CcGh8,0PMGiUc3McEX0IvvoDZEHj,Impasse,single,single,2015-06-08,day,1,https://open.spotify.com/album/0PMGiUc3McEX0IvvoDZEHj
1yR65psqiazQpeM79CcGh8,6nnJLINVAKak77GBlfZ4XF,Marília Mendonça (Ao Vivo),single,single,2014-01-09,day,6,https://open.spotify.com/album/6nnJLINVAKak77GBlfZ4XF
